Kernel radius,wm_parallel2_cpu,Kernel radius,adams_gpu_static,adams_gpu_dynamic,npp,arrayfire,opencv_cuda,wavelet_matrix_cuda,wm_runtimeonly_cuda
1,5.539204,1,138647.718750,4852.925781,51337.261719,65414.332031,80.195389,892.896240,2092.224121
2,5.257651,2,50469.621094,3494.980469,15597.227539,1824.354004,80.567642,891.763733,2093.837158
3,5.308663,3,21486.537109,2510.107178,3389.030029,506.026764,79.607239,891.731750,2089.677979
4,5.330934,4,15309.597656,1848.775146,962.972534,183.588760,79.835220,891.944946,2078.219727
5,5.253753,5,9596.020508,1423.192871,652.281006,83.311531,78.927162,890.811157,2070.398926
6,5.188580,6,6620.018555,971.289917,471.306427,42.277420,79.177216,885.801392,2077.644775
7,5.177829,7,4560.258789,653.678223,356.160553,24.615919,78.330421,885.621155,2075.820068
8,5.124545,8,2628.192627,514.978760,17.873148,inf,78.960854,880.774841,2079.199463
9,5.159355,9,1974.916382,449.823181,10.960148,inf,76.761581,881.529236,2075.855957
10,5.172091,10,1548.768921,375.057068,7.580188,inf,76.916153,880.644104,2077.452393
11,5.307389,11,1125.650269,330.279633,5.623162,inf,76.217819,882.195618,2076.552490
12,5.090065,12,627.573608,265.497253,4.410214,inf,76.580460,879.660583,2075.640625
13,5.195415,13,483.348389,237.442764,3.561541,inf,75.912033,883.576477,2076.680420
14,5.014884,14,350.217407,196.340881,2.931929,inf,76.138336,882.457458,2079.882080
15,4.947408,15,282.928925,168.020538,2.466856,inf,75.591850,884.073792,2074.831543
16,5.034341,16,199.743881,139.823196,2.092949,inf,76.025330,879.808411,2075.222900
17,5.206920,17,153.294342,126.061943,1.812467,inf,74.724998,875.861938,2082.061768
18,5.133103,18,134.544632,108.047791,1.578993,inf,74.847191,875.870117,2076.582520
19,5.069926,19,inf,95.082230,1.386587,inf,74.230377,879.076721,2079.223877
20,5.185091,20,inf,78.644119,1.226365,inf,74.477722,876.781921,2081.562256
21,5.001690,21,inf,74.700523,1.095284,inf,73.828354,881.035278,2082.394043
22,5.002554,22,inf,69.208748,0.980434,inf,73.945793,875.365112,2079.533447
23,4.898267,23,inf,62.629959,0.886567,inf,73.406464,875.367004,2076.027100
24,4.903379,24,inf,55.087742,0.802086,inf,73.703789,869.768982,2085.098145
25,4.911780,25,inf,49.956482,0.735056,inf,72.801041,868.805786,2080.096191
26,4.896662,26,inf,41.382355,0.672756,inf,72.831268,868.748108,2075.042725
27,4.906115,27,inf,37.664993,0.616560,inf,72.451263,869.723999,2070.741943
28,4.893776,28,inf,34.040489,0.567490,inf,72.653183,868.504150,2072.080811
29,4.906330,29,inf,30.800121,0.524533,inf,72.105293,872.645752,2078.283447
30,4.977656,30,inf,27.787399,0.484909,inf,72.190033,871.087891,2078.888428
31,4.971180,31,inf,24.855053,0.450727,inf,71.910080,871.577393,2073.856445
32,4.968081,32,inf,21.778236,0.418280,inf,72.104195,867.227539,2070.311035
33,4.942315,33,inf,19.976444,0.393321,inf,70.353477,863.242065,2075.683105
34,4.937497,34,inf,17.819246,0.368376,inf,70.376717,862.768677,2077.013672
35,4.948853,35,inf,16.432571,0.347116,inf,69.647400,868.509949,2077.736816
36,5.079893,36,inf,14.644481,0.327005,inf,69.763321,866.585022,2072.371826
37,5.094917,37,inf,13.752463,0.307678,inf,69.401009,868.133667,2072.358398
38,5.087533,38,inf,11.827044,0.290721,inf,69.525558,862.394592,2078.828613
39,5.087314,39,inf,10.806297,0.274115,inf,69.174622,861.481323,2079.256348
40,5.096654,40,inf,10.002968,0.259228,inf,69.393494,859.078918,2079.466553
41,5.063072,41,inf,9.041573,0.243964,inf,69.454453,855.970825,2077.383789
42,5.057799,42,inf,8.466876,0.231509,inf,69.473557,857.347717,2079.714355
43,5.039013,43,inf,7.818365,0.219295,inf,69.252220,856.625244,2080.245850
44,5.032885,44,inf,7.001891,0.207813,inf,69.407158,856.640564,2078.091309
45,5.026227,45,inf,6.525323,0.198164,inf,69.151978,861.606262,2077.055908
46,5.183829,46,inf,5.906422,0.188868,inf,69.114426,859.016174,2078.631104
47,5.096457,47,inf,5.466858,0.180208,inf,68.644356,862.079102,2075.958008
48,5.083643,48,inf,5.098526,0.171345,inf,68.748642,858.584412,2080.008301
49,5.058545,49,inf,4.727715,0.161538,inf,66.460846,854.082886,2075.360352
50,5.062037,50,inf,4.123411,0.154172,inf,66.439354,851.538940,2078.620850
